,Label,Row,Intervals
185,12-185,"[0, 1, 7, 4, 9, 8, 10, 2, 5, 3, 11, 6]",[ 1  6  9  5 11  2  4  3 10  8  7  6]
186,12-186,"[0, 1, 7, 4, 9, 8, 10, 5, 3, 11, 2, 6]",[ 1  6  9  5 11  2  7 10  8  3  4  6]
187,12-187,"[0, 1, 7, 4, 11, 2, 10, 3, 5, 9, 8, 6]",[ 1  6  9  7  3  8  5  2  4 11 10  6]
188,12-188,"[0, 1, 7, 4, 11, 9, 5, 8, 10, 3, 2, 6]",[ 1  6  9  7 10  8  3  2  5 11  4  6]
189,12-189,"[0, 1, 7, 4, 2, 5, 9, 8, 10, 3, 11, 6]",[ 1  6  9 10  3  4 11  2  5  8  7  6]
190,12-190,"[0, 1, 7, 4, 2, 9, 8, 11, 3, 5, 10, 6]",[ 1  6  9 10  7 11  3  4  2  5  8  6]
191,12-191,"[0, 1, 7, 4, 2, 10, 3, 5, 9, 8, 11, 6]",[ 1  6  9 10  8  5  2  4 11  3  7  6]
192,12-192,"[0, 1, 7, 4, 3, 5, 9, 2, 10, 8, 11, 6]",[ 1  6  9 11  2  4  5  8 10  3  7  6]
193,12-193,"[0, 1, 7, 5, 8, 3, 11, 10, 2, 4, 9, 6]",[ 1  6 10  3  7  8 11  4  2  5  9  6]
194,12-194,"[0, 1, 7, 5, 10, 2, 9, 11, 8, 4, 3, 6]",[ 1  6 10  5  4  7  2  9  8 11  3  6]
195,12-195,"[0, 1, 7, 5, 2, 4, 9, 8, 11, 3, 10, 6]",[ 1  6 10  9  2  5 11  3  4  7  8  6]
196,12-196,"[0, 1, 7, 5, 2, 10, 9, 11, 4, 8, 3, 6]",[ 1  6 10  9  8 11  2  5  4  7  3  6]
197,12-197,"[0, 1, 7, 5, 4, 8, 10, 3, 11, 2, 9, 6]",[ 1  6 10 11  4  2  5  8  3  7  9  6]
198,12-198P,"[0, 1, 8, 10, 2, 11, 5, 4, 9, 7, 3, 6]",[ 1  7  2  4  9  6 11  5 10  8  3  6]
199,12-199,"[0, 1, 8, 10, 2, 11, 7, 5, 4, 9, 3, 6]",[ 1  7  2  4  9  8 10 11  5  6  3  6]
200,12-200,"[0, 1, 8, 10, 4, 3, 11, 2, 7, 5, 9, 6]",[ 1  7  2  6 11  8  3  5 10  4  9  6]
201,12-201,"[0, 1, 8, 10, 7, 5, 4, 9, 3, 11, 2, 6]",[ 1  7  2  9 10 11  5  6  8  3  4  6]
202,12-202,"[0, 1, 8, 10, 9, 3, 11, 4, 7, 5, 2, 6]",[ 1  7  2 11  6  8  5  3 10  9  4  6]
203,12-203,"[0, 1, 8, 11, 3, 9, 2, 10, 7, 5, 4, 6]",[ 1  7  3  4  6  5  8  9 10 11  2  6]
204,12-204,"[0, 1, 8, 11, 4, 10, 7, 9, 5, 3, 2, 6]",[ 1  7  3  5  6  9  2  8 10 11  4  6]
205,12-205,"[0, 1, 8, 11, 4, 10, 9, 7, 3, 5, 2, 6]",[ 1  7  3  5  6 11 10  8  2  9  4  6]
206,12-206,"[0, 1, 8, 11, 5, 4, 2, 10, 3, 7, 9, 6]",[ 1  7  3  6 11 10  8  5  4  2  9  6]
207,12-207L,"[0, 1, 8, 11, 7, 5, 10, 2, 4, 3, 9, 6]",[ 1  7  3  8 10  5  4  2 11  6  9  6]
208,12-208,"[0, 1, 8, 11, 9, 5, 7, 4, 10, 3, 2, 6]",[ 1  7  3 10  8  2  9  6  5 11  4  6]
209,12-209,"[0, 1, 8, 11, 9, 5, 2, 4, 10, 3, 7, 6]",[ 1  7  3 10  8  9  2  6  5  4 11  6]
210,12-210,"[0, 1, 8, 11, 10, 3, 9, 5, 7, 4, 2, 6]",[ 1  7  3 11  5  6  8  2  9 10  4  6]
211,12-211,"[0, 1, 8, 11, 10, 4, 9, 7, 3, 5, 2, 6]",[ 1  7  3 11  6  5 10  8  2  9  4  6]
212,12-212,"[0, 1, 8, 11, 10, 4, 2, 7, 3, 5, 9, 6]",[ 1  7  3 11  6 10  5  8  2  4  9  6]
213,12-213,"[0, 1, 8, 2, 5, 3, 7, 4, 9, 11, 10, 6]",[ 1  7  6  3 10  4  9  5  2 11  8  6]
214,12-214L,"[0, 1, 8, 2, 10, 3, 5, 4, 7, 11, 9, 6]",[ 1  7  6  8  5  2 11  3  4 10  9  6]
215,12-215,"[0, 1, 8, 2, 10, 7, 5, 9, 11, 4, 3, 6]",[ 1  7  6  8  9 10  4  2  5 11  3  6]
216,12-216,"[0, 1, 8, 2, 10, 7, 5, 4, 9, 11, 3, 6]",[ 1  7  6  8  9 10 11  5  2  4  3  6]
217,12-217,"[0, 1, 8, 2, 11, 3, 5, 4, 9, 7, 10, 6]",[ 1  7  6  9  4  2 11  5 10  3  8  6]
218,12-218,"[0, 1, 8, 2, 11, 4, 3, 5, 9, 7, 10, 6]",[ 1  7  6  9  5 11  2  4 10  3  8  6]
219,12-219,"[0, 1, 8, 4, 10, 3, 2, 5, 7, 11, 9, 6]",[ 1  7  8  6  5 11  3  2  4 10  9  6]
220,12-220,"[0, 1, 8, 4, 2, 5, 7, 11, 10, 3, 9, 6]",[ 1  7  8 10  3  2  4 11  5  6  9  6]
221,12-221P,"[0, 1, 8, 4, 2, 5, 11, 10, 3, 7, 9, 6]",[ 1  7  8 10  3  6 11  5  4  2  9  6]
222,12-222L,"[0, 1, 8, 5, 7, 10, 4, 3, 11, 9, 2, 6]",[ 1  7  9  2  3  6 11  8 10  5  4  6]
223,12-223,"[0, 1, 8, 5, 7, 10, 9, 3, 11, 4, 2, 6]",[ 1  7  9  2  3 11  6  8  5 10  4  6]
224,12-224L,"[0, 1, 8, 5, 7, 11, 4, 2, 10, 9, 3, 6]",[ 1  7  9  2  4  5 10  8 11  6  3  6]
225,12-225L,"[0, 1, 8, 5, 7, 11, 9, 2, 10, 4, 3, 6]",[ 1  7  9  2  4 10  5  8  6 11  3  6]
226,12-226,"[0, 1, 8, 5, 9, 11, 10, 4, 2, 7, 3, 6]",[ 1  7  9  4  2 11  6 10  5  8  3  6]
227,12-227,"[0, 1, 8, 5, 11, 3, 2, 4, 9, 7, 10, 6]",[ 1  7  9  6  4 11  2  5 10  3  8  6]
228,12-228,"[0, 1, 8, 5, 11, 9, 2, 4, 3, 7, 10, 6]",[ 1  7  9  6 10  5  2 11  4  3  8  6]
229,12-229,"[0, 1, 8, 5, 11, 10, 2, 4, 9, 7, 3, 6]",[ 1  7  9  6 11  4  2  5 10  8  3  6]
230,12-230L,"[0, 1, 8, 5, 3, 9, 2, 4, 7, 11, 10, 6]",[ 1  7  9 10  6  5  2  3  4 11  8  6]
231,12-231L,"[0, 1, 8, 5, 3, 11, 10, 4, 7, 9, 2, 6]",[ 1  7  9 10  8 11  6  3  2  5  4  6]
232,12-232,"[0, 1, 8, 7, 9, 5, 10, 4, 2, 11, 3, 6]",[ 1  7 11  2  8  5  6 10  9  4  3  6]
233,12-233,"[0, 1, 8, 7, 11, 9, 5, 2, 4, 10, 3, 6]",[ 1  7 11  4 10  8  9  2  6  5  3  6]
234,12-234,"[0, 1, 8, 7, 5, 2, 10, 4, 9, 11, 3, 6]",[ 1  7 11 10  9  8  6  5  2  4  3  6]
235,12-235,"[0, 1, 9, 11, 3, 2, 7, 4, 10, 5, 8, 6]",[ 1  8  2  4 11  5  9  6  7  3 10  6]
236,12-236,"[0, 1, 9, 11, 4, 10, 7, 5, 8, 3, 2, 6]",[ 1  8  2  5  6  9 10  3  7 11  4  6]
237,12-237L,"[0, 1, 9, 11, 4, 3, 7, 10, 5, 2, 8, 6]",[ 1  8  2  5 11  4  3  7  9  6 10  6]
238,12-238L,"[0, 1, 9, 11, 4, 3, 10, 7, 5, 8, 2, 6]",[ 1  8  2  5 11  7  9 10  3  6  4  6]
239,12-239L,"[0, 1, 9, 2, 4, 3, 7, 10, 5, 11, 8, 6]",[ 1  8  5  2 11  4  3  7  6  9 10  6]
240,12-240,"[0, 1, 9, 2, 4, 3, 7, 10, 8, 5, 11, 6]",[ 1  8  5  2 11  4  3 10  9  6  7  6]
241,12-241L,"[0, 1, 9, 2, 4, 3, 10, 7, 11, 5, 8, 6]",[ 1  8  5  2 11  7  9  4  6  3 10  6]
242,12-242,"[0, 1, 9, 2, 5, 11, 3, 10, 8, 7, 4, 6]",[ 1  8  5  3  6  4  7 10 11  9  2  6]
243,12-243,"[0, 1, 9, 2, 5, 11, 10, 8, 3, 7, 4, 6]",[ 1  8  5  3  6 11 10  7  4  9  2  6]
244,12-244L,"[0, 1, 9, 2, 8, 10, 7, 5, 4, 11, 3, 6]",[ 1  8  5  6  2  9 10 11  7  4  3  6]
245,12-245L,"[0, 1, 9, 2, 8, 11, 3, 10, 7, 5, 4, 6]",[ 1  8  5  6  3  4  7  9 10 11  2  6]
246,12-246L,"[0, 1, 9, 2, 8, 11, 10, 5, 3, 7, 4, 6]",[ 1  8  5  6  3 11  7 10  4  9  2  6]
247,12-247,"[0, 1, 9, 3, 5, 10, 8, 7, 4, 11, 2, 6]",[ 1  8  6  2  5 10 11  9  7  3  4  6]
248,12-248,"[0, 1, 9, 3, 8, 10, 7, 5, 4, 11, 2, 6]",[ 1  8  6  5  2  9 10 11  7  3  4  6]
249,12-249,"[0, 1, 9, 3, 8, 11, 10, 5, 7, 4, 2, 6]",[ 1  8  6  5  3 11  7  2  9 10  4  6]
250,12-250L,"[0, 1, 9, 4, 7, 11, 10, 3, 5, 2, 8, 6]",[ 1  8  7  3  4 11  5  2  9  6 10  6]
251,12-251,"[0, 1, 9, 4, 7, 5, 11, 8, 10, 3, 2, 6]",[ 1  8  7  3 10  6  9  2  5 11  4  6]
252,12-252,"[0, 1, 9, 4, 10, 3, 2, 5, 7, 11, 8, 6]",[ 1  8  7  6  5 11  3  2  4  9 10  6]
253,12-253S,"[0, 1, 9, 4, 2, 5, 11, 8, 10, 3, 7, 6]",[ 1  8  7 10  3  6  9  2  5  4 11  6]
254,12-254,"[0, 1, 9, 4, 2, 8, 5, 7, 11, 10, 3, 6]",[ 1  8  7 10  6  9  2  4 11  5  3  6]
255,12-255S,"[0, 1, 9, 4, 2, 11, 5, 8, 10, 3, 7, 6]",[ 1  8  7 10  9  6  3  2  5  4 11  6]
256,12-256L,"[0, 1, 9, 4, 3, 5, 10, 7, 11, 2, 8, 6]",[ 1  8  7 11  2  5  9  4  3  6 10  6]
257,12-257,"[0, 1, 9, 4, 3, 8, 10, 7, 5, 11, 2, 6]",[ 1  8  7 11  5  2  9 10  6  3  4  6]
258,12-258,"[0, 1, 9, 7, 10, 2, 4, 3, 8, 5, 11, 6]",[ 1  8 10  3  4  2 11  5  9  6  7  6]
259,12-259,"[0, 1, 9, 7, 10, 3, 5, 4, 8, 2, 11, 6]",[ 1  8 10  3  5  2 11  4  6  9  7  6]
260,12-260L,"[0, 1, 9, 7, 10, 3, 5, 4, 11, 8, 2, 6]",[ 1  8 10  3  5  2 11  7  9  6  4  6]
261,12-261,"[0, 1, 9, 7, 10, 3, 2, 4, 8, 5, 11, 6]",[ 1  8 10  3  5 11  2  4  9  6  7  6]
262,12-262L,"[0, 1, 9, 7, 11, 8, 3, 2, 5, 10, 4, 6]",[ 1  8 10  4  9  7 11  3  5  6  2  6]
263,12-263,"[0, 1, 9, 7, 2, 4, 8, 5, 11, 10, 3, 6]",[ 1  8 10  7  2  4  9  6 11  5  3  6]
264,12-264P,"[0, 1, 9, 7, 2, 11, 5, 4, 8, 10, 3, 6]",[ 1  8 10  7  9  6 11  4  2  5  3  6]
265,12-265,"[0, 1, 9, 7, 4, 8, 10, 3, 2, 5, 11, 6]",[ 1  8 10  9  4  2  5 11  3  6  7  6]
266,12-266,"[0, 1, 9, 7, 4, 11, 5, 8, 10, 3, 2, 6]",[ 1  8 10  9  7  6  3  2  5 11  4  6]
267,12-267L,"[0, 1, 9, 7, 4, 11, 10, 3, 5, 8, 2, 6]",[ 1  8 10  9  7 11  5  2  3  6  4  6]
268,12-268,"[0, 1, 9, 7, 4, 3, 5, 10, 2, 8, 11, 6]",[ 1  8 10  9 11  2  5  4  6  3  7  6]
269,12-269,"[0, 1, 9, 7, 4, 3, 8, 10, 2, 5, 11, 6]",[ 1  8 10  9 11  5  2  4  3  6  7  6]
270,12-270,"[0, 1, 9, 7, 4, 3, 8, 10, 5, 11, 2, 6]",[ 1  8 10  9 11  5  2  7  6  3  4  6]
271,12-271,"[0, 1, 9, 8, 10, 2, 7, 4, 11, 5, 3, 6]",[ 1  8 11  2  4  5  9  7  6 10  3  6]
272,12-272,"[0, 1, 9, 8, 10, 3, 7, 4, 2, 5, 11, 6]",[ 1  8 11  2  5  4  9 10  3  6  7  6]
273,12-273,"[0, 1, 9, 8, 11, 5, 3, 10, 2, 7, 4, 6]",[ 1  8 11  3  6 10  7  4  5  9  2  6]
274,12-274L,"[0, 1, 9, 8, 2, 5, 3, 10, 7, 11, 4, 6]",[ 1  8 11  6  3 10  7  9  4  5  2  6]
275,12-275,"[0, 1, 10, 2, 5, 11, 7, 9, 4, 3, 8, 6]",[ 1  9  4  3  6  8  2  7 11  5 10  6]
276,12-276,"[0, 1, 10, 2, 5, 4, 11, 7, 9, 3, 8, 6]",[ 1  9  4  3 11  7  8  2  6  5 10  6]
277,12-277,"[0, 1, 10, 2, 7, 9, 4, 3, 11, 5, 8, 6]",[ 1  9  4  5  2  7 11  8  6  3 10  6]
278,12-278,"[0, 1, 10, 2, 7, 9, 8, 4, 11, 5, 3, 6]",[ 1  9  4  5  2 11  8  7  6 10  3  6]
279,12-279,"[0, 1, 10, 2, 7, 5, 8, 4, 3, 9, 11, 6]",[ 1  9  4  5 10  3  8 11  6  2  7  6]
280,12-280S,"[0, 1, 10, 2, 9, 11, 5, 3, 8, 4, 7, 6]",[ 1  9  4  7  2  6 10  5  8  3 11  6]
281,12-281P,"[0, 1, 10, 2, 9, 11, 5, 4, 7, 3, 8, 6]",[ 1  9  4  7  2  6 11  3  8  5 10  6]
282,12-282L,"[0, 1, 10, 2, 9, 3, 8, 11, 7, 5, 4, 6]",[ 1  9  4  7  6  5  3  8 10 11  2  6]
283,12-283L,"[0, 1, 10, 2, 9, 7, 3, 8, 11, 5, 4, 6]",[ 1  9  4  7 10  8  5  3  6 11  2  6]
284,12-284,"[0, 1, 10, 3, 5, 11, 9, 8, 4, 7, 2, 6]",[ 1  9  5  2  6 10 11  8  3  7  4  6]
285,12-285,"[0, 1, 10, 3, 7, 9, 5, 4, 11, 2, 8, 6]",[ 1  9  5  4  2  8 11  7  3  6 10  6]
286,12-286,"[0, 1, 10, 3, 7, 9, 5, 4, 2, 8, 11, 6]",[ 1  9  5  4  2  8 11 10  6  3  7  6]
287,12-287,"[0, 1, 10, 3, 7, 9, 8, 4, 2, 5, 11, 6]",[ 1  9  5  4  2 11  8 10  3  6  7  6]
288,12-288,"[0, 1, 10, 3, 7, 2, 5, 11, 9, 8, 4, 6]",[ 1  9  5  4  7  3  6 10 11  8  2  6]
289,12-289L,"[0, 1, 10, 3, 7, 2, 8, 11, 9, 5, 4, 6]",[ 1  9  5  4  7  6  3 10  8 11  2  6]
290,12-290,"[0, 1, 10, 3, 7, 5, 11, 2, 9, 8, 4, 6]",[ 1  9  5  4 10  6  3  7 11  8  2  6]
291,12-291,"[0, 1, 10, 3, 9, 11, 7, 2, 5, 4, 8, 6]",[ 1  9  5  6  2  8  7  3 11  4 10  6]
292,12-292,"[0, 1, 10, 3, 9, 8, 4, 2, 5, 7, 11, 6]",[ 1  9  5  6 11  8 10  3  2  4  7  6]
293,12-293,"[0, 1, 10, 3, 11, 2, 8, 7, 5, 9, 4, 6]",[ 1  9  5  8  3  6 11 10  4  7  2  6]
294,12-294,"[0, 1, 10, 3, 11, 5, 8, 7, 9, 4, 2, 6]",[ 1  9  5  8  6  3 11  2  7 10  4  6]
295,12-295,"[0, 1, 10, 3, 11, 9, 4, 8, 2, 5, 7, 6]",[ 1  9  5  8 10  7  4  6  3  2 11  6]
296,12-296,"[0, 1, 10, 3, 2, 5, 11, 7, 9, 4, 8, 6]",[ 1  9  5 11  3  6  8  2  7  4 10  6]
297,12-297,"[0, 1, 10, 3, 2, 8, 11, 7, 5, 9, 4, 6]",[ 1  9  5 11  6  3  8 10  4  7  2  6]
298,12-298,"[0, 1, 10, 3, 2, 8, 4, 7, 5, 9, 11, 6]",[ 1  9  5 11  6  8  3 10  4  2  7  6]
299,12-299,"[0, 1, 10, 3, 2, 9, 7, 11, 5, 8, 4, 6]",[ 1  9  5 11  7 10  4  6  3  8  2  6]
300,12-300,"[0, 1, 10, 4, 8, 3, 11, 9, 2, 5, 7, 6]",[ 1  9  6  4  7  8 10  5  3  2 11  6]
301,12-301,"[0, 1, 10, 4, 8, 7, 9, 2, 5, 3, 11, 6]",[ 1  9  6  4 11  2  5  3 10  8  7  6]
302,12-302,"[0, 1, 10, 4, 9, 11, 7, 5, 8, 3, 2, 6]",[ 1  9  6  5  2  8 10  3  7 11  4  6]
303,12-303,"[0, 1, 10, 4, 11, 2, 7, 3, 5, 9, 8, 6]",[ 1  9  6  7  3  5  8  2  4 11 10  6]
304,12-304,"[0, 1, 10, 4, 11, 3, 2, 7, 9, 5, 8, 6]",[ 1  9  6  7  4 11  5  2  8  3 10  6]
305,12-305,"[0, 1, 10, 4, 2, 7, 3, 5, 9, 8, 11, 6]",[ 1  9  6 10  5  8  2  4 11  3  7  6]
306,12-306,"[0, 1, 10, 4, 3, 8, 11, 9, 5, 7, 2, 6]",[ 1  9  6 11  5  3 10  8  2  7  4  6]
307,12-307,"[0, 1, 10, 5, 7, 11, 9, 2, 8, 4, 3, 6]",[ 1  9  7  2  4 10  5  6  8 11  3  6]
308,12-308P,"[0, 1, 10, 5, 7, 3, 9, 8, 11, 4, 2, 6]",[ 1  9  7  2  8  6 11  3  5 10  4  6]
309,12-309,"[0, 1, 10, 5, 8, 7, 9, 3, 11, 4, 2, 6]",[ 1  9  7  3 11  2  6  8  5 10  4  6]
310,12-310,"[0, 1, 10, 5, 8, 7, 3, 9, 11, 4, 2, 6]",[ 1  9  7  3 11  8  6  2  5 10  4  6]
311,12-311L,"[0, 1, 10, 5, 9, 11, 4, 7, 3, 2, 8, 6]",[ 1  9  7  4  2  5  3  8 11  6 10  6]
312,12-312L,"[0, 1, 10, 5, 9, 11, 4, 2, 8, 7, 3, 6]",[ 1  9  7  4  2  5 10  6 11  8  3  6]
313,12-313L,"[0, 1, 10, 5, 9, 7, 3, 2, 8, 11, 4, 6]",[ 1  9  7  4 10  8 11  6  3  5  2  6]
314,12-314,"[0, 1, 10, 5, 11, 9, 2, 4, 8, 7, 3, 6]",[ 1  9  7  6 10  5  2  4 11  8  3  6]
315,12-315L,"[0, 1, 10, 5, 3, 11, 4, 7, 9, 8, 2, 6]",[ 1  9  7 10  8  5  3  2 11  6  4  6]
316,12-316,"[0, 1, 10, 8, 11, 4, 3, 9, 5, 7, 2, 6]",[ 1  9 10  3  5 11  6  8  2  7  4  6]
317,12-317,"[0, 1, 10, 8, 2, 7, 9, 5, 4, 11, 3, 6]",[ 1  9 10  6  5  2  8 11  7  4  3  6]
318,12-318,"[0, 1, 10, 8, 2, 9, 5, 7, 11, 4, 3, 6]",[ 1  9 10  6  7  8  2  4  5 11  3  6]
319,12-319S,"[0, 1, 10, 8, 3, 11, 5, 9, 2, 4, 7, 6]",[ 1  9 10  7  8  6  4  5  2  3 11  6]
320,12-320P,"[0, 1, 10, 8, 3, 11, 5, 4, 7, 9, 2, 6]",[ 1  9 10  7  8  6 11  3  2  5  4  6]
321,12-321P,"[0, 1, 10, 8, 4, 9, 3, 2, 5, 7, 11, 6]",[ 1  9 10  8  5  6 11  3  2  4  7  6]
322,12-322,"[0, 1, 10, 8, 4, 11, 3, 9, 2, 5, 7, 6]",[ 1  9 10  8  7  4  6  5  3  2 11  6]
323,12-323,"[0, 1, 10, 8, 4, 3, 7, 9, 2, 5, 11, 6]",[ 1  9 10  8 11  4  2  5  3  6  7  6]
324,12-324,"[0, 1, 10, 8, 4, 3, 9, 2, 5, 7, 11, 6]",[ 1  9 10  8 11  6  5  3  2  4  7  6]
325,12-325,"[0, 1, 10, 8, 7, 2, 4, 9, 5, 11, 3, 6]",[ 1  9 10 11  7  2  5  8  6  4  3  6]
326,12-326,"[0, 1, 10, 8, 7, 2, 5, 9, 3, 11, 4, 6]",[ 1  9 10 11  7  3  4  6  8  5  2  6]
327,12-327,"[0, 1, 10, 9, 11, 5, 3, 8, 4, 7, 2, 6]",[ 1  9 11  2  6 10  5  8  3  7  4  6]
328,12-328,"[0, 1, 10, 9, 3, 5, 8, 4, 2, 7, 11, 6]",[ 1  9 11  6  2  3  8 10  5  4  7  6]
329,12-329,"[0, 1, 10, 9, 3, 8, 4, 2, 5, 7, 11, 6]",[ 1  9 11  6  5  8 10  3  2  4  7  6]
330,12-330,"[0, 1, 10, 9, 5, 7, 11, 4, 2, 8, 3, 6]",[ 1  9 11  8  2  4  5 10  6  7  3  6]
331,12-331,"[0, 1, 10, 9, 5, 3, 7, 2, 8, 11, 4, 6]",[ 1  9 11  8 10  4  7  6  3  5  2  6]
332,12-332,"[0, 1, 10, 9, 5, 3, 8, 2, 4, 7, 11, 6]",[ 1  9 11  8 10  5  6  2  3  4  7  6]
333,12-333,"[0, 1, 10, 9, 7, 2, 5, 11, 3, 8, 4, 6]",[ 1  9 11 10  7  3  6  4  5  8  2  6]
334,12-334S,"[0, 1, 11, 2, 10, 3, 9, 4, 8, 5, 7, 6]",[ 1 10  3  8  5  6  7  4  9  2 11  6]
335,12-335,"[0, 1, 11, 2, 10, 5, 9, 3, 8, 7, 4, 6]",[ 1 10  3  8  7  4  6  5 11  9  2  6]
336,12-336,"[0, 1, 11, 3, 5, 8, 7, 2, 10, 4, 9, 6]",[ 1 10  4  2  3 11  7  8  6  5  9  6]
337,12-337,"[0, 1, 11, 3, 8, 2, 10, 5, 4, 7, 9, 6]",[ 1 10  4  5  6  8  7 11  3  2  9  6]
338,12-338,"[0, 1, 11, 3, 9, 2, 10, 5, 8, 7, 4, 6]",[ 1 10  4  6  5  8  7  3 11  9  2  6]
339,12-339,"[0, 1, 11, 3, 10, 9, 5, 8, 2, 7, 4, 6]",[ 1 10  4  7 11  8  3  6  5  9  2  6]
340,12-340P,"[0, 1, 11, 4, 7, 3, 9, 8, 10, 5, 2, 6]",[ 1 10  5  3  8  6 11  2  7  9  4  6]
341,12-341,"[0, 1, 11, 4, 7, 3, 2, 8, 10, 5, 9, 6]",[ 1 10  5  3  8 11  6  2  7  4  9  6]
342,12-342,"[0, 1, 11, 4, 8, 2, 5, 7, 3, 10, 9, 6]",[ 1 10  5  4  6  3  2  8  7 11  9  6]
343,12-343,"[0, 1, 11, 4, 8, 5, 7, 2, 10, 9, 3, 6]",[ 1 10  5  4  9  2  7  8 11  6  3  6]
344,12-344,"[0, 1, 11, 4, 10, 2, 9, 8, 5, 7, 3, 6]",[ 1 10  5  6  4  7 11  9  2  8  3  6]
345,12-345,"[0, 1, 11, 4, 10, 7, 9, 5, 8, 3, 2, 6]",[ 1 10  5  6  9  2  8  3  7 11  4  6]
346,12-346,"[0, 1, 11, 4, 3, 9, 5, 8, 10, 7, 2, 6]",[ 1 10  5 11  6  8  3  2  9  7  4  6]
347,12-347,"[0, 1, 11, 4, 3, 10, 7, 9, 5, 8, 2, 6]",[ 1 10  5 11  7  9  2  8  3  6  4  6]
348,12-348,"[0, 1, 11, 5, 8, 4, 3, 10, 2, 7, 9, 6]",[ 1 10  6  3  8 11  7  4  5  2  9  6]
349,12-349,"[0, 1, 11, 5, 8, 4, 3, 10, 7, 9, 2, 6]",[ 1 10  6  3  8 11  7  9  2  5  4  6]
350,12-350L,"[0, 1, 11, 5, 8, 7, 3, 10, 2, 4, 9, 6]",[ 1 10  6  3 11  8  7  4  2  5  9  6]
351,12-351,"[0, 1, 11, 5, 2, 4, 9, 8, 3, 7, 10, 6]",[ 1 10  6  9  2  5 11  7  4  3  8  6]
352,12-352,"[0, 1, 11, 5, 4, 7, 3, 8, 10, 2, 9, 6]",[ 1 10  6 11  3  8  5  2  4  7  9  6]
353,12-353,"[0, 1, 11, 7, 10, 2, 8, 3, 5, 4, 9, 6]",[ 1 10  8  3  4  6  7  2 11  5  9  6]
354,12-354,"[0, 1, 11, 7, 10, 2, 9, 3, 8, 5, 4, 6]",[ 1 10  8  3  4  7  6  5  9 11  2  6]
355,12-355L,"[0, 1, 11, 7, 10, 3, 5, 4, 8, 2, 9, 6]",[ 1 10  8  3  5  2 11  4  6  7  9  6]
356,12-356,"[0, 1, 11, 7, 10, 3, 2, 8, 5, 9, 4, 6]",[ 1 10  8  3  5 11  6  9  4  7  2  6]
357,12-357,"[0, 1, 11, 7, 10, 4, 9, 8, 3, 5, 2, 6]",[ 1 10  8  3  6  5 11  7  2  9  4  6]
358,12-358,"[0, 1, 11, 7, 2, 4, 8, 5, 10, 9, 3, 6]",[ 1 10  8  7  2  4  9  5 11  6  3  6]
359,12-359,"[0, 1, 11, 7, 2, 5, 4, 8, 10, 3, 9, 6]",[ 1 10  8  7  3 11  4  2  5  6  9  6]
360,12-360,"[0, 1, 11, 8, 10, 3, 9, 5, 4, 7, 2, 6]",[ 1 10  9  2  5  6  8 11  3  7  4  6]
361,12-361,"[0, 1, 11, 8, 10, 5, 4, 7, 3, 9, 2, 6]",[ 1 10  9  2  7 11  3  8  6  5  4  6]
362,12-362L,"[0, 1, 11, 8, 3, 7, 9, 2, 5, 4, 10, 6]",[ 1 10  9  7  4  2  5  3 11  6  8  6]
363,12-363S,"[0, 1, 11, 8, 4, 9, 3, 10, 2, 5, 7, 6]",[ 1 10  9  8  5  6  7  4  3  2 11  6]
364,12-364,"[0, 1, 11, 10, 7, 2, 5, 9, 3, 8, 4, 6]",[ 1 10 11  9  7  3  4  6  5  8  2  6]
365,12-365,"[0, 1, 11, 10, 7, 3, 8, 2, 5, 9, 4, 6]",[ 1 10 11  9  8  5  6  3  4  7  2  6]
366,12-366,"[0, 2, 3, 7, 10, 4, 9, 8, 5, 1, 11, 6]",[ 2  1  4  3  6  5 11  9  8 10  7  6]
367,12-367,"[0, 2, 3, 7, 10, 4, 11, 9, 8, 5, 1, 6]",[ 2  1  4  3  6  7 10 11  9  8  5  6]
